Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance)
BCMAC-371,2022-11-11 12:10:17,0.8554317355155945,"[""LOSO multi seed"",""To calculate std""]",0.833008348941803,3.0,128.0,175,0.0,39.0,1.0,1.0,19.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0012905006924234463
BCMAC-370,2022-11-11 12:07:21,0.869498610496521,"[""LOSO multi seed"",""To calculate std""]",0.8288300633430481,3.0,128.0,175,0.0,39.0,1.0,1.0,18.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0013180512082454853
BCMAC-369,2022-11-11 12:04:24,0.8600278496742249,"[""LOSO multi seed"",""To calculate std""]",0.8240947127342224,3.0,128.0,175,0.0,39.0,1.0,1.0,17.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.001279465171585148
BCMAC-368,2022-11-11 12:01:29,0.8573816418647766,"[""LOSO multi seed"",""To calculate std""]",0.808356523513794,3.0,128.0,174,0.0,39.0,1.0,1.0,16.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0038449170154578383
BCMAC-367,2022-11-11 11:58:33,0.8502785563468933,"[""LOSO multi seed"",""To calculate std""]",0.8098886013031006,3.0,128.0,174,0.0,39.0,1.0,1.0,15.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0014064100142247681
BCMAC-366,2022-11-11 11:55:37,0.8561281561851501,"[""LOSO multi seed"",""To calculate std""]",0.7058495879173279,3.0,128.0,174,0.0,39.0,1.0,1.0,14.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0014695042156692927
BCMAC-365,2022-11-11 11:52:42,0.8540390133857727,"[""LOSO multi seed"",""To calculate std""]",0.7841225862503052,3.0,128.0,175,0.0,39.0,1.0,1.0,13.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.003014056356304984
BCMAC-364,2022-11-11 11:49:46,0.8580780029296875,"[""LOSO multi seed"",""To calculate std""]",0.8055710196495056,3.0,128.0,174,0.0,39.0,1.0,1.0,12.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0014977146006061482
BCMAC-363,2022-11-11 11:46:50,0.8615598678588867,"[""LOSO multi seed"",""To calculate std""]",0.8359331488609314,3.0,128.0,175,0.0,39.0,1.0,1.0,11.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.001185087476803126
BCMAC-362,2022-11-11 11:43:54,0.8637883067131042,"[""LOSO multi seed"",""To calculate std""]",0.8143454194068909,3.0,128.0,174,0.0,39.0,1.0,1.0,10.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,14360.0,0.0012218843340869867
