Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-1203,2022-12-03 11:32:16,0.9044568538665771,"[""LOSO"",""Aggregate data aug""]",0.8557103276252747,3.0,128.0,1309,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,3.9073057199123795E-4,173384.0
BCMAC-1202,2022-12-03 11:10:35,0.903342604637146,"[""LOSO"",""Aggregate data aug""]",0.8520194888114929,3.0,128.0,1299,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,5.76009265261046E-4,173384.0
BCMAC-1201,2022-12-03 10:49:02,0.8971448540687561,"[""LOSO"",""Aggregate data aug""]",0.8971448540687561,3.0,128.0,1291,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,4.826184773212283E-4,173384.0
BCMAC-1200,2022-12-03 10:27:11,0.9062674045562744,"[""LOSO"",""Aggregate data aug""]",0.8555014133453369,3.0,128.0,1310,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,5.306251991872735E-4,173384.0
BCMAC-1199,2022-12-03 10:05:37,0.9213091731071472,"[""LOSO"",""Aggregate data aug""]",0.8811281323432922,3.0,128.0,1292,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,8.948554136091857E-4,173384.0
BCMAC-1198,2022-12-03 09:43:50,0.8983983397483826,"[""LOSO"",""Aggregate data aug""]",0.8632311820983887,3.0,128.0,1305,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,6.14143098355413E-4,173384.0
BCMAC-1197,2022-12-03 09:22:06,0.9057102799415588,"[""LOSO"",""Aggregate data aug""]",0.8878133893013,3.0,128.0,1303,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,0.0011468362667061526,173384.0
BCMAC-1196,2022-12-03 09:00:30,0.9103760719299316,"[""LOSO"",""Aggregate data aug""]",0.8621169924736023,3.0,128.0,1294,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,8.094989894309457E-4,173384.0
BCMAC-1195,2022-12-03 08:38:38,0.9057102799415588,"[""LOSO"",""Aggregate data aug""]",0.8775765895843506,3.0,128.0,1310,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,7.916820033809557E-4,173384.0
BCMAC-1194,2022-12-03 08:16:52,0.9034819006919861,"[""LOSO"",""Aggregate data aug""]",0.8475626707077026,3.0,128.0,1304,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",14360.0,173384.0,8.084526887616406E-4,173384.0
