Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min),metadata/augmentation
BCMAC-1299,2022-12-04 03:11:21,0.9055710434913635,"[""Aggregate, all ""]",0.8544568419456482,3.0,128.0,1268,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,3.890807239978145E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1297,2022-12-04 02:50:13,0.9038997292518616,"[""Aggregate, all ""]",0.8487465381622314,3.0,128.0,1266,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,5.420673966582079E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1296,2022-12-04 02:28:52,0.8988857865333557,"[""Aggregate, all ""]",0.8979108929634094,3.0,128.0,1279,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,4.706748236951164E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1295,2022-12-04 02:07:49,0.9072423577308655,"[""Aggregate, all ""]",0.856824517250061,3.0,128.0,1261,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,5.566248960409581E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1294,2022-12-04 01:46:18,0.9210306406021118,"[""Aggregate, all ""]",0.8806406855583191,3.0,128.0,1288,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,8.770377533715568E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1292,2022-12-04 01:25:18,0.9004178047180176,"[""Aggregate, all ""]",0.8655988574028015,3.0,128.0,1258,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,6.139367137448559E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1291,2022-12-04 01:04:09,0.9058495759963989,"[""Aggregate, all ""]",0.8902506828308105,3.0,128.0,1267,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,0.0010935461401309077,173384.0,temp cutout 0.2 fixed
BCMAC-1290,2022-12-04 00:43:06,0.9123955368995667,"[""Aggregate, all ""]",0.8630919456481934,3.0,128.0,1262,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,7.993277646450636E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1289,2022-12-04 00:22:00,0.9065459370613098,"[""Aggregate, all ""]",0.878830075263977,3.0,128.0,1263,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,8.18050316221175E-4,173384.0,temp cutout 0.2 fixed
BCMAC-1287,2022-12-04 00:00:49,0.9037604331970215,"[""Aggregate, all ""]",0.845821738243103,3.0,128.0,1270,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,173384.0,8.254533460940294E-4,173384.0,temp cutout 0.2 fixed
