Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-711,2022-11-21 11:52:12,0.8852367401123047,"[""LOSO"",""control test for data augmentation""]",0.8701949715614319,3.0,128.0,171,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.005052514091242966,14360.0
BCMAC-710,2022-11-21 11:49:20,0.9207521080970764,"[""LOSO"",""control test for data augmentation""]",0.8697771430015564,3.0,128.0,172,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.004384084887041606,14360.0
BCMAC-709,2022-11-21 11:46:27,0.8937326073646545,"[""LOSO"",""control test for data augmentation""]",0.8565459847450256,3.0,128.0,171,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.003219117749047218,14360.0
BCMAC-708,2022-11-21 11:43:34,0.9107242226600647,"[""LOSO"",""control test for data augmentation""]",0.8452646136283875,3.0,128.0,172,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.005454766177535042,14360.0
BCMAC-707,2022-11-21 11:40:42,0.883983314037323,"[""LOSO"",""control test for data augmentation""]",0.8259052634239197,3.0,128.0,171,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0037560757464925485,14360.0
BCMAC-706,2022-11-21 11:37:49,0.9026462435722351,"[""LOSO"",""control test for data augmentation""]",0.8863509893417358,3.0,128.0,172,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0051183061055867,14360.0
BCMAC-705,2022-11-21 11:34:57,0.9069637656211853,"[""LOSO"",""control test for data augmentation""]",0.856824517250061,3.0,128.0,170,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0044860585057130645,14360.0
BCMAC-704,2022-11-21 11:32:05,0.8849582076072693,"[""LOSO"",""control test for data augmentation""]",0.8428969383239746,3.0,128.0,171,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0029370029771435212,14360.0
BCMAC-703,2022-11-21 11:29:14,0.9012534618377686,"[""LOSO"",""control test for data augmentation""]",0.8983286619186401,3.0,128.0,170,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0034944591696635108,14360.0
BCMAC-702,2022-11-21 11:26:20,0.8963788151741028,"[""LOSO"",""control test for data augmentation""]",0.8963788151741028,3.0,128.0,172,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.005285292461760971,14360.0
BCMAC-701,2022-11-21 11:23:28,0.7753481864929199,"[""LOSO"",""control test for data augmentation""]",0.7370473742485046,3.0,128.0,171,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,14360.0,0.0015389345651933618,14360.0
BCMAC-700,2022-11-21 11:20:36,0.7813370227813721,"[""LOSO"",""control test for data augmentation""]",0.7299442887306213,3.0,128.0,171,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,14360.0,0.00159419560868308,14360.0
BCMAC-699,2022-11-21 11:17:44,0.8142061233520508,"[""LOSO"",""control test for data augmentation""]",0.7238161563873291,3.0,128.0,171,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,14360.0,0.0015613607712412047,14360.0
BCMAC-698,2022-11-21 11:14:52,0.7667130827903748,"[""LOSO"",""control test for data augmentation""]",0.7114205956459045,3.0,128.0,171,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,14360.0,0.0012176918894377664,14360.0
