Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-741,2022-11-21 14:23:50,0.90682452917099,"[""LOSO"",""data augmentation"",""noise""]",0.8930361866950989,3.0,128.0,273,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.004181801273523522,28720.0
BCMAC-740,2022-11-21 14:19:12,0.8977715969085693,"[""LOSO"",""data augmentation"",""noise""]",0.8718662858009338,3.0,128.0,277,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0024558891800521288,28720.0
BCMAC-739,2022-11-21 14:14:37,0.8969359397888184,"[""LOSO"",""data augmentation"",""noise""]",0.8883008360862732,3.0,128.0,274,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.004634915160103415,28720.0
BCMAC-738,2022-11-21 14:10:02,0.9052924513816833,"[""LOSO"",""data augmentation"",""noise""]",0.9030640721321106,3.0,128.0,274,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.002001709097871185,28720.0
BCMAC-737,2022-11-21 14:05:28,0.880501389503479,"[""LOSO"",""data augmentation"",""noise""]",0.8688022494316101,3.0,128.0,273,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003962644678619576,28720.0
BCMAC-736,2022-11-21 14:00:52,0.8913649320602417,"[""LOSO"",""data augmentation"",""noise""]",0.8894150257110596,3.0,128.0,275,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.00411963772631001,28720.0
BCMAC-735,2022-11-21 13:56:16,0.9037604331970215,"[""LOSO"",""data augmentation"",""noise""]",0.8864902257919312,3.0,128.0,274,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0033278204263706536,28720.0
BCMAC-734,2022-11-21 13:51:42,0.9073815941810608,"[""LOSO"",""data augmentation"",""noise""]",0.8864902257919312,3.0,128.0,273,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.00450187737205523,28720.0
BCMAC-733,2022-11-21 13:47:07,0.9027855396270752,"[""LOSO"",""data augmentation"",""noise""]",0.8537604212760925,3.0,128.0,274,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.002034956125850318,28720.0
BCMAC-732,2022-11-21 13:42:33,0.9057102799415588,"[""LOSO"",""data augmentation"",""noise""]",0.892339825630188,3.0,128.0,272,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.004159400501884925,28720.0
