Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-1083,2022-12-01 18:25:53,0.8887186646461487,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8761838674545288,3.0,128.0,283,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003387775552273098,28720.0
BCMAC-1082,2022-12-01 18:21:03,0.8952646255493164,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.85584956407547,3.0,128.0,289,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003652751246497754,28720.0
BCMAC-1081,2022-12-01 18:16:19,0.9153203368186951,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8538997173309326,3.0,128.0,283,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003978980994219406,28720.0
BCMAC-1080,2022-12-01 18:11:32,0.9140668511390686,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.9058495759963989,3.0,128.0,285,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0041495932171989654,28720.0
BCMAC-1079,2022-12-01 18:06:41,0.9061281085014343,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8935933113098145,3.0,128.0,290,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003003473624591102,28720.0
BCMAC-1078,2022-12-01 18:01:54,0.8972144722938538,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8682451248168945,3.0,128.0,286,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0037446597358446352,28720.0
BCMAC-1077,2022-12-01 17:57:05,0.8935933113098145,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.878690779209137,3.0,128.0,287,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0034425020971819544,28720.0
BCMAC-1076,2022-12-01 17:52:16,0.9029247760772705,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8834261894226074,3.0,128.0,288,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0034538579972574366,28720.0
BCMAC-1075,2022-12-01 17:47:24,0.8910863399505615,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8649024963378906,3.0,128.0,289,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003273120854761391,28720.0
BCMAC-1074,2022-12-01 17:42:41,0.8881615400314331,"[""pitch +/- 0.5 semitones"",""LOSO ""]",0.8614206314086914,3.0,128.0,282,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0033678937839962233,28720.0
