Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-1173,2022-12-02 21:29:18,0.9098885655403137,"[""LOSO"",""Speed 2""]",0.8718662858009338,3.0,128.0,291,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.002452156592103094,29211.0
BCMAC-1172,2022-12-02 21:24:48,0.9083565473556519,"[""LOSO"",""Speed 2""]",0.85584956407547,3.0,128.0,269,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.0021161127553708248,29211.0
BCMAC-1171,2022-12-02 21:20:19,0.9149025082588196,"[""LOSO"",""Speed 2""]",0.8388579487800598,3.0,128.0,267,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.002064831231074216,29211.0
BCMAC-1170,2022-12-02 21:15:48,0.9020891189575195,"[""LOSO"",""Speed 2""]",0.8534818887710571,3.0,128.0,270,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.0018975050976796303,29211.0
BCMAC-1169,2022-12-02 21:11:15,0.9071030616760254,"[""LOSO"",""Speed 2""]",0.8864902257919312,3.0,128.0,271,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.002789837667531536,29211.0
BCMAC-1168,2022-12-02 21:06:46,0.9058495759963989,"[""LOSO"",""Speed 2""]",0.8706128001213074,3.0,128.0,269,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.003930527521804806,29211.0
BCMAC-1167,2022-12-02 21:02:17,0.9086350798606873,"[""LOSO"",""Speed 2""]",0.8892757892608643,3.0,128.0,268,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.002823779405626148,29211.0
BCMAC-1166,2022-12-02 20:57:47,0.9118384122848511,"[""LOSO"",""Speed 2""]",0.8991643190383911,3.0,128.0,268,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.004857730470602473,29211.0
BCMAC-1165,2022-12-02 20:53:17,0.9047353863716125,"[""LOSO"",""Speed 2""]",0.86866295337677,3.0,128.0,269,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.003468105565690571,29211.0
BCMAC-1164,2022-12-02 20:48:48,0.9153203368186951,"[""LOSO"",""Speed 2""]",0.8859331607818604,3.0,128.0,268,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,29211.0,0.0033576845852473446,29211.0
