Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-771,2022-11-21 16:42:12,0.9125348329544067,"[""LOSO"",""data augmentation"",""speed""]",0.8856545686721802,3.0,128.0,276,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.004236002692283414,28769.0
BCMAC-770,2022-11-21 16:37:35,0.8963788151741028,"[""LOSO"",""data augmentation"",""speed""]",0.880501389503479,3.0,128.0,275,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.004854720594269146,28769.0
BCMAC-769,2022-11-21 16:33:00,0.9110028147697449,"[""LOSO"",""data augmentation"",""speed""]",0.8565459847450256,3.0,128.0,274,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.0031770468164451946,28769.0
BCMAC-768,2022-11-21 16:28:23,0.896657407283783,"[""LOSO"",""data augmentation"",""speed""]",0.8927576541900635,3.0,128.0,275,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.0031165274044750112,28769.0
BCMAC-767,2022-11-21 16:23:44,0.8869080543518066,"[""LOSO"",""data augmentation"",""speed""]",0.8860723972320557,3.0,128.0,278,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.003737955017352146,28769.0
BCMAC-766,2022-11-21 16:19:07,0.9149025082588196,"[""LOSO"",""data augmentation"",""speed""]",0.8927576541900635,3.0,128.0,276,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.0044776859206330675,28769.0
BCMAC-765,2022-11-21 16:14:31,0.9133704900741577,"[""LOSO"",""data augmentation"",""speed""]",0.9018105864524841,3.0,128.0,273,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.0038185665813698757,28769.0
BCMAC-764,2022-11-21 16:09:51,0.9108635187149048,"[""LOSO"",""data augmentation"",""speed""]",0.8910863399505615,3.0,128.0,276,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.0042633218593601365,28769.0
BCMAC-763,2022-11-21 16:05:14,0.9086350798606873,"[""LOSO"",""data augmentation"",""speed""]",0.9086350798606873,3.0,128.0,275,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.003974466833318235,28769.0
BCMAC-762,2022-11-21 16:00:38,0.905988872051239,"[""LOSO"",""data augmentation"",""speed""]",0.905988872051239,3.0,128.0,275,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28769.0,0.00433784267104409,28769.0
