Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-1233,2022-12-03 14:10:05,0.9061281085014343,"[""LOSO"",""Temp cutout fixed 0.2""]",0.883147656917572,3.0,128.0,276,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0023987864545957473,28720.0
BCMAC-1232,2022-12-03 14:05:27,0.8883008360862732,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8603063821792603,3.0,128.0,276,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.002659501913110862,28720.0
BCMAC-1231,2022-12-03 14:00:48,0.9008356332778931,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8951253294944763,3.0,128.0,278,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003605608958243334,28720.0
BCMAC-1230,2022-12-03 13:56:04,0.8913649320602417,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8753482103347778,3.0,128.0,283,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003569424576360536,28720.0
BCMAC-1229,2022-12-03 13:51:21,0.9040390253067017,"[""LOSO"",""Temp cutout fixed 0.2""]",0.9002785682678223,3.0,128.0,281,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.003765352179866266,28720.0
BCMAC-1228,2022-12-03 13:46:44,0.8986072540283203,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8455431461334229,3.0,128.0,276,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.005005856617473459,28720.0
BCMAC-1227,2022-12-03 13:42:06,0.9001392722129822,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8750696182250977,3.0,128.0,277,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0030625273282065104,28720.0
BCMAC-1226,2022-12-03 13:37:29,0.9013927578926086,"[""LOSO"",""Temp cutout fixed 0.2""]",0.893314778804779,3.0,128.0,276,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.004248526377758655,28720.0
BCMAC-1225,2022-12-03 13:32:49,0.9043175578117371,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8740947246551514,3.0,128.0,279,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.002945139080942383,28720.0
BCMAC-1224,2022-12-03 13:28:07,0.9079387187957764,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8735376000404358,3.0,128.0,278,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,28720.0,0.0033555583044935665,28720.0
BCMAC-1223,2022-12-03 13:23:31,0.786490261554718,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7076601386070251,3.0,128.0,275,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0011111495834077445,28720.0
BCMAC-1222,2022-12-03 13:18:53,0.784679651260376,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7257660031318665,3.0,128.0,276,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.001892437231420363,28720.0
BCMAC-1221,2022-12-03 13:14:11,0.7924790978431702,"[""LOSO"",""Temp cutout fixed 0.2""]",0.777158796787262,3.0,128.0,281,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0013622326070447776,28720.0
BCMAC-1220,2022-12-03 13:09:34,0.8091921806335449,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7559888362884521,3.0,128.0,276,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0012402132525810572,28720.0
BCMAC-1219,2022-12-03 13:04:53,0.8167130947113037,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7217270135879517,3.0,128.0,279,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0018115891277090234,28720.0
BCMAC-1218,2022-12-03 13:00:13,0.8122562766075134,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7057102918624878,3.0,128.0,279,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.002073302549235123,28720.0
BCMAC-1217,2022-12-03 12:55:33,0.806685209274292,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7268802523612976,3.0,128.0,278,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0013639903787522555,28720.0
BCMAC-1216,2022-12-03 12:50:52,0.8096100091934204,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7674094438552856,3.0,128.0,280,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0018951252698695242,28720.0
BCMAC-1215,2022-12-03 12:46:12,0.8204735517501831,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7392757534980774,3.0,128.0,278,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.001827581722084659,28720.0
BCMAC-1214,2022-12-03 12:41:34,0.796518087387085,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7721448540687561,3.0,128.0,277,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,28720.0,0.0014668309436917325,28720.0
BCMAC-1213,2022-12-03 12:36:54,0.8516713380813599,"[""LOSO"",""Temp cutout fixed 0.2""]",0.7807799577713013,3.0,128.0,278,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28720.0,8.302157036940372E-4,28720.0
BCMAC-1212,2022-12-03 12:32:14,0.8545960783958435,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8328690528869629,3.0,128.0,279,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28720.0,8.645508865222417E-4,28720.0
BCMAC-1211,2022-12-03 12:27:36,0.8456824421882629,"[""LOSO"",""Temp cutout fixed 0.2""]",0.8271587491035461,3.0,128.0,276,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27', 'bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37']",7180.0,28720.0,0.0012200742029114587,28720.0
