Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min),metadata/augmentation
BCMAC-1355,2022-12-05 15:44:53,0.9020891189575195,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8399721384048462,3.0,128.0,5002,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,6.122777872252349E-4,244652.0,aggregate v3
BCMAC-1354,2022-12-05 14:23:06,0.8917827010154724,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8493036031723022,3.0,128.0,4904,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,3.4647608752207403E-4,244652.0,aggregate v3
BCMAC-1353,2022-12-05 13:00:28,0.9192200303077698,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8688022494316101,3.0,128.0,4956,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,4.168379092039487E-4,244652.0,aggregate v3
BCMAC-1352,2022-12-05 11:38:56,0.907660186290741,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8433147668838501,3.0,128.0,4890,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,2.151983178628747E-4,244652.0,aggregate v3
BCMAC-1351,2022-12-05 10:16:43,0.8981894254684448,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8577994704246521,3.0,128.0,4930,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,5.745008418446496E-4,244652.0,aggregate v3
BCMAC-1350,2022-12-05 08:51:05,0.8772980570793152,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8077994585037231,3.0,128.0,5135,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,3.5417196189024835E-4,244652.0,aggregate v3
BCMAC-1349,2022-12-05 07:22:16,0.9091922044754028,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8608635067939758,3.0,128.0,2249,0.0,17.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,0.002949555157749143,244652.0,
BCMAC-1348,2022-12-05 05:55:50,0.9036211967468262,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8675487637519836,3.0,128.0,5184,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,2.1717212572127664E-4,244652.0,aggregate v3
BCMAC-1347,2022-12-05 04:27:35,0.8986072540283203,"[""LOSO"",""Aggregate data aug"",""V3""]",0.867827296257019,3.0,128.0,5293,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,8.297901503470761E-4,244652.0,aggregate v3
BCMAC-1346,2022-12-05 03:03:19,0.9064067006111145,"[""LOSO"",""Aggregate data aug"",""V3""]",0.8721448183059692,3.0,128.0,5053,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,244652.0,9.223261180451914E-4,244652.0,aggregate v3
BCMAC-1345,2022-12-05 01:39:44,0.7828691005706787,"[""LOSO"",""Aggregate data aug"",""V3""]",0.7204735279083252,3.0,128.0,5013,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,243805.0,8.660603835797254E-4,243805.0,aggregate v3
BCMAC-1344,2022-12-05 00:16:02,0.7903899550437927,"[""LOSO"",""Aggregate data aug"",""V3""]",0.7213091850280762,3.0,128.0,5020,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6', 'bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0']",7180.0,243805.0,6.743163118326124E-4,243805.0,aggregate v3
