Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-625,2022-11-15 21:07:36,0.9350046515464783,"[""fine-tuning"",""fractional 0.05""]",0.9348189234733582,3.0,128.0,238,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9'],5385.0,14360.0,0.006569921529506839,85.0
BCMAC-624,2022-11-15 21:03:38,0.8146703839302063,"[""fine-tuning"",""fractional 0.05""]",0.8115134835243225,3.0,128.0,237,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0'],5385.0,14360.0,0.0031331211213604603,85.0
BCMAC-623,2022-11-15 20:59:42,0.8805942535400391,"[""fine-tuning"",""fractional 0.05""]",0.8805942535400391,3.0,128.0,234,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37'],5385.0,14360.0,0.0022211578041558154,85.0
BCMAC-622,2022-11-15 20:55:45,0.8984215259552002,"[""fine-tuning"",""fractional 0.05""]",0.8672237992286682,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.003942132972106371,85.0
BCMAC-621,2022-11-15 20:51:50,0.8235840201377869,"[""fine-tuning"",""fractional 0.05""]",0.8018569946289062,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6'],5385.0,14360.0,0.0031932582394264665,85.0
BCMAC-620,2022-11-15 20:47:53,0.8573816418647766,"[""fine-tuning"",""fractional 0.05""]",0.8367688059806824,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27'],5385.0,14360.0,0.0011200864489363306,85.0
BCMAC-619,2022-11-15 20:43:56,0.9091922044754028,"[""fine-tuning"",""fractional 0.05""]",0.8947075009346008,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13'],5385.0,14360.0,0.004179259244791211,85.0
BCMAC-618,2022-11-15 20:40:00,0.8109563589096069,"[""fine-tuning"",""fractional 0.05""]",0.8001856803894043,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7'],5385.0,14360.0,0.002426221699606934,85.0
BCMAC-617,2022-11-15 20:36:04,0.8532962203025818,"[""fine-tuning"",""fractional 0.05""]",0.8532962203025818,3.0,128.0,235,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39'],5385.0,14360.0,0.0011787070494179374,85.0
BCMAC-616,2022-11-15 20:32:09,0.9045496582984924,"[""fine-tuning"",""fractional 0.05""]",0.8662952780723572,3.0,128.0,234,0.0,79.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1'],5385.0,14360.0,0.004144945527376898,85.0
