Id,metadata/lstm_hidden_size (last),metadata/seed (last),training/val_acc_epoch (max),training/train_acc_epoch (max)
BCMAC-87,512.0,9.0,0.9783275127410889,0.9956442713737488
BCMAC-86,512.0,8.0,0.9709599614143372,0.9926077723503113
BCMAC-85,512.0,7.0,0.9751904606819153,0.9985976219177246
BCMAC-84,512.0,6.0,0.9749215841293335,0.9954066276550293
BCMAC-83,512.0,5.0,0.9719817042350769,0.9977478384971619
BCMAC-82,512.0,4.0,0.9718024730682373,0.9991443157196045
BCMAC-81,512.0,3.0,0.9730572700500488,0.9959592223167419
BCMAC-80,512.0,2.0,0.9747602343559265,0.9939507246017456
BCMAC-79,512.0,1.0,0.9767141938209534,0.996577262878418
BCMAC-78,512.0,0.0,0.975620687007904,0.9985381960868835
BCMAC-77,128.0,9.0,0.9767500162124634,0.9960067868232727
BCMAC-76,128.0,8.0,0.9818230867385864,0.9971298575401306
BCMAC-75,128.0,7.0,0.9791520833969116,0.9980211853981018
BCMAC-74,128.0,6.0,0.9777538776397705,0.9967139363288879
BCMAC-73,128.0,5.0,0.9750829339027405,0.9971179962158203
BCMAC-72,128.0,4.0,0.9778255820274353,0.9986510872840881
BCMAC-71,128.0,3.0,0.9746168255805969,0.997533917427063
BCMAC-70,128.0,2.0,0.9777538776397705,0.998015284538269
BCMAC-69,128.0,1.0,0.9778255820274353,0.9990432858467102
BCMAC-68,128.0,0.0,0.9711571335792542,0.9954660534858704
BCMAC-67,64.0,9.0,0.9767858982086182,0.9989363551139832
BCMAC-66,64.0,8.0,0.9749932885169983,0.9984015226364136
BCMAC-65,64.0,7.0,0.9752801060676575,0.9984490871429443
BCMAC-64,64.0,6.0,0.9770727157592773,0.9989006519317627
BCMAC-63,64.0,5.0,0.975979208946228,0.9951986074447632
BCMAC-62,64.0,4.0,0.9789190888404846,0.9989778995513916
BCMAC-61,64.0,3.0,0.9762301445007324,0.9988709688186646
BCMAC-60,64.0,2.0,0.9778076410293579,0.9988828301429749
BCMAC-59,64.0,1.0,0.9746168255805969,0.9967376589775085
BCMAC-58,64.0,0.0,0.9764273762702942,0.9981578588485718
BCMAC-57,8.0,9.0,0.9573003649711609,0.9788632392883301
BCMAC-56,8.0,8.0,0.9651519060134888,0.9795466065406799
BCMAC-55,8.0,7.0,0.9692748785018921,0.9797248840332031
BCMAC-54,8.0,6.0,0.9680917859077454,0.9779124855995178
BCMAC-53,8.0,5.0,0.967553973197937,0.9808123111724854
BCMAC-52,8.0,4.0,0.9715873599052429,0.9795406460762024
BCMAC-51,8.0,3.0,0.9721788763999939,0.9726594686508179
BCMAC-50,8.0,2.0,0.9675002098083496,0.9641857743263245
BCMAC-49,8.0,1.0,0.9627498388290405,0.9831951856613159
BCMAC-48,8.0,0.0,0.9729318022727966,0.9793267250061035
