Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),metadata/train_set_length (min),metadata/augmentation,metadata/occlusion (last)
BCMAC-873,2022-11-24 10:22:44,0.8757660388946533,"[""LOSO"",""stride 16ms""]",0.8062673807144165,3.0,128.0,222,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-872,2022-11-24 10:19:01,0.9083565473556519,"[""LOSO"",""stride 16ms""]",0.8608635067939758,3.0,128.0,222,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-871,2022-11-24 10:15:16,0.8701949715614319,"[""LOSO"",""stride 16ms""]",0.8520891070365906,3.0,128.0,223,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-870,2022-11-24 10:11:32,0.8963788151741028,"[""LOSO"",""stride 16ms""]",0.8536211848258972,3.0,128.0,223,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-869,2022-11-24 10:07:48,0.8072423338890076,"[""LOSO"",""stride 16ms""]",0.7408077716827393,3.0,128.0,222,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-868,2022-11-24 10:04:03,0.8800835609436035,"[""LOSO"",""stride 16ms""]",0.8157381415367126,3.0,128.0,224,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-867,2022-11-24 10:00:19,0.9111420512199402,"[""LOSO"",""stride 16ms""]",0.8608635067939758,3.0,128.0,222,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-866,2022-11-24 09:56:35,0.8754874467849731,"[""LOSO"",""stride 16ms""]",0.8527855277061462,3.0,128.0,223,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-865,2022-11-24 09:52:52,0.9090529084205627,"[""LOSO"",""stride 16ms""]",0.835654616355896,3.0,128.0,222,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-864,2022-11-24 09:49:08,0.8896936178207397,"[""LOSO"",""stride 16ms""]",0.8479108810424805,3.0,128.0,222,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride0.016', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride0.016']",7180.0,14360.0,14360.0,window0.064,0.0
