Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-1023,2022-11-28 18:00:04,0.888544499874115,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8378705978393555,3.0,128.0,166,0.0,39.0,1.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.003268726522796772,14840.0
BCMAC-1022,2022-11-28 17:57:18,0.8754717111587524,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8660377264022827,3.0,128.0,165,0.0,39.0,1.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.003122360448188832,14840.0
BCMAC-1021,2022-11-28 17:54:33,0.8811320662498474,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8238544464111328,3.0,128.0,164,0.0,39.0,1.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.0037538657334886595,14840.0
BCMAC-1020,2022-11-28 17:51:47,0.8944743871688843,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8636118769645691,3.0,128.0,165,0.0,39.0,1.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.004290492117234379,14840.0
BCMAC-1019,2022-11-28 17:48:59,0.8840970396995544,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8409703373908997,3.0,128.0,167,0.0,39.0,1.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.003872244702965677,14840.0
BCMAC-1018,2022-11-28 17:46:12,0.8791105151176453,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8776280283927917,3.0,128.0,166,0.0,39.0,1.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.003520936327136415,14840.0
BCMAC-1017,2022-11-28 17:43:25,0.8688679337501526,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.836657702922821,3.0,128.0,166,0.0,39.0,1.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.004905654702444906,14840.0
BCMAC-1016,2022-11-28 17:40:38,0.8698112964630127,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8238544464111328,3.0,128.0,166,0.0,39.0,1.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.0038590412322268897,14840.0
BCMAC-1015,2022-11-28 17:37:51,0.8530997037887573,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8481131792068481,3.0,128.0,165,0.0,39.0,1.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.0018071614925343482,14840.0
BCMAC-1014,2022-11-28 17:35:06,0.8704851865768433,"[""LOSO"",""MFCC window 64ms"",""MFCC stride 64 ms""]",0.8373315334320068,3.0,128.0,165,0.0,39.0,1.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_stride_64_window_64', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_stride_64_window_64']",7420.0,14840.0,0.0031154965179121417,14840.0
