Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),metadata/train_set_length (min),metadata/augmentation,metadata/occlusion (last)
BCMAC-903,2022-11-24 22:04:56,0.8855153322219849,"[""LOSO"",""mfcc window 64 ms""]",0.8589136600494385,3.0,128.0,177,0.0,39.0,1.0,9.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-902,2022-11-24 22:01:59,0.8757660388946533,"[""LOSO"",""mfcc window 64 ms""]",0.8427576422691345,3.0,128.0,176,0.0,39.0,1.0,8.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-901,2022-11-24 21:59:01,0.8752089142799377,"[""LOSO"",""mfcc window 64 ms""]",0.8417827486991882,3.0,128.0,177,0.0,39.0,1.0,7.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-900,2022-11-24 21:56:03,0.879665732383728,"[""LOSO"",""mfcc window 64 ms""]",0.8619776964187622,3.0,128.0,177,0.0,39.0,1.0,6.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-899,2022-11-24 21:53:05,0.8688022494316101,"[""LOSO"",""mfcc window 64 ms""]",0.8486072421073914,3.0,128.0,177,0.0,39.0,1.0,5.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-898,2022-11-24 21:50:07,0.8761838674545288,"[""LOSO"",""mfcc window 64 ms""]",0.820334255695343,3.0,128.0,176,0.0,39.0,1.0,4.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-897,2022-11-24 21:47:09,0.8881615400314331,"[""LOSO"",""mfcc window 64 ms""]",0.8530640602111816,3.0,128.0,177,0.0,39.0,1.0,3.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-896,2022-11-24 21:44:10,0.8935933113098145,"[""LOSO"",""mfcc window 64 ms""]",0.8532033562660217,3.0,128.0,178,0.0,39.0,1.0,2.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-895,2022-11-24 21:41:12,0.8937326073646545,"[""LOSO"",""mfcc window 64 ms""]",0.8630919456481934,3.0,128.0,177,0.0,39.0,1.0,1.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
BCMAC-894,2022-11-24 21:38:13,0.8926183581352234,"[""LOSO"",""mfcc window 64 ms""]",0.8555710315704346,3.0,128.0,177,0.0,39.0,1.0,0.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14mfcc_window0.064', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9mfcc_window0.064']",7180.0,14360.0,14360.0,window0.064,0.0
