Id,Creation Time,Owner,Val acc (last),Window (s) (last),lstm_hidden_size (last),metadata/weight_decay (last),LR (last),Monitoring Time,training/val_acc_epoch (max),metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (last),metadata/file_path
BCMAC-278,2022-11-07 06:11:19,aksel.s.madsen,0.9678407907485962,3.0,128.0,0.0,0.001,867,0.9757461547851562,0.0,22.0,1.0,0.032,19.0,data/bcm_spectrograms/
BCMAC-277,2022-11-07 05:58:37,aksel.s.madsen,0.9648113250732422,3.0,128.0,0.0,0.001,760,0.9741865992546082,0.0,19.0,1.0,0.032,18.0,data/bcm_spectrograms/
BCMAC-276,2022-11-07 05:43:27,aksel.s.madsen,0.9713722467422485,3.0,128.0,0.0,0.001,909,0.9757999181747437,0.0,23.0,1.0,0.032,17.0,data/bcm_spectrograms/
BCMAC-275,2022-11-07 05:20:08,aksel.s.madsen,0.961136519908905,3.0,128.0,0.0,0.001,1399,0.9699202179908752,0.0,36.0,1.0,0.032,16.0,data/bcm_spectrograms/
BCMAC-274,2022-11-07 05:03:12,aksel.s.madsen,0.9685757756233215,3.0,128.0,0.0,0.001,1014,0.9724119305610657,0.0,26.0,1.0,0.032,15.0,data/bcm_spectrograms/
BCMAC-273,2022-11-07 04:49:24,aksel.s.madsen,0.9607242345809937,3.0,128.0,0.0,0.001,827,0.9678946137428284,0.0,21.0,1.0,0.032,14.0,data/bcm_spectrograms/
BCMAC-272,2022-11-07 04:40:42,aksel.s.madsen,0.9634668827056885,3.0,128.0,0.0,0.001,520,0.9692569971084595,0.0,13.0,1.0,0.032,13.0,data/bcm_spectrograms/
BCMAC-271,2022-11-07 04:29:20,aksel.s.madsen,0.9589674472808838,3.0,128.0,0.0,0.001,680,0.968235194683075,0.0,17.0,1.0,0.032,12.0,data/bcm_spectrograms/
BCMAC-270,2022-11-07 04:17:57,aksel.s.madsen,0.963968813419342,3.0,128.0,0.0,0.001,682,0.9703683853149414,0.0,17.0,1.0,0.032,11.0,data/bcm_spectrograms/
BCMAC-269,2022-11-07 04:06:30,aksel.s.madsen,0.9643093943595886,3.0,128.0,0.0,0.001,686,0.9721968173980713,0.0,17.0,1.0,0.032,10.0,data/bcm_spectrograms/
BCMAC-268,2022-11-07 03:44:33,aksel.s.madsen,0.961728036403656,3.0,128.0,0.0,0.001,1316,0.9672850966453552,0.0,34.0,1.0,0.032,9.0,data/bcm_spectrograms/
BCMAC-267,2022-11-07 03:32:36,aksel.s.madsen,0.967912495136261,3.0,128.0,0.0,0.001,715,0.973182737827301,0.0,18.0,1.0,0.032,8.0,data/bcm_spectrograms/
