Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance)
BCMAC-395,2022-11-12 12:03:13,0.9231197834014893,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9197771549224854,3.0,128.0,181,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9'],1795.0,19745.0,0.004637883641208873
BCMAC-394,2022-11-12 12:00:10,0.9894150495529175,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9860724210739136,3.0,128.0,182,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],1795.0,19745.0,0.0039293362297120995
BCMAC-393,2022-11-12 11:57:06,0.9743732810020447,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9637883305549622,3.0,128.0,182,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13'],1795.0,19745.0,0.006857635644912996
BCMAC-392,2022-11-12 11:54:03,0.985515296459198,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9844011068344116,3.0,128.0,181,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1'],1795.0,19745.0,0.0060586496757991885
BCMAC-391,2022-11-12 11:50:59,0.9130918979644775,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.8311977982521057,3.0,128.0,183,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0'],1795.0,19745.0,0.0029529670867372458
BCMAC-390,2022-11-12 11:47:52,0.9108635187149048,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.8746517896652222,3.0,128.0,185,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6'],1795.0,19745.0,0.004052749039427095
BCMAC-389,2022-11-12 11:44:48,0.9242339730262756,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9203342795372009,3.0,128.0,183,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7'],1795.0,19745.0,0.003956564037457877
BCMAC-388,2022-11-12 11:41:44,0.8763231039047241,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.8601671457290649,3.0,128.0,182,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16'],1795.0,19745.0,0.0020897634548067145
BCMAC-387,2022-11-12 11:38:41,0.9214484691619873,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9119777083396912,3.0,128.0,182,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37'],1795.0,19745.0,0.0027529356773903224
BCMAC-386,2022-11-12 11:35:37,0.9275766015052795,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9130918979644775,3.0,128.0,183,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27'],1795.0,19745.0,0.0025652998029754848
BCMAC-385,2022-11-12 11:32:34,0.9665738344192505,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9565459489822388,3.0,128.0,182,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39'],1795.0,19745.0,0.0034432411549596862
BCMAC-384,2022-11-12 11:29:32,0.9342618584632874,"[""Test of all possible datasets with 1 file as validation"",""\""full_datasets\""""]",0.9286907911300659,3.0,128.0,181,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11'],1795.0,19745.0,0.003226022686695984
