Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance)
BCMAC-298,2022-11-07 16:50:52,0.9367930293083191,"[""Testing all 4 variations of original 1 subject data""]",0.9182575941085815,3.0,128.0,505,0.0,12.0,1.0,0.032,19.0,data/bcm_alt/,55785.0,168285.0,0.001217541231454925
BCMAC-297,2022-11-07 16:42:41,0.9442323446273804,"[""Testing all 4 variations of original 1 subject data""]",0.9374204277992249,3.0,128.0,490,0.0,12.0,1.0,0.032,18.0,data/bcm_alt/,55785.0,168285.0,2.969337258945232E-5
BCMAC-296,2022-11-07 16:30:04,0.9390696287155151,"[""Testing all 4 variations of original 1 subject data""]",0.9358250498771667,3.0,128.0,755,0.0,19.0,1.0,0.032,17.0,data/bcm_alt/,55785.0,168285.0,5.869349162667348E-4
BCMAC-295,2022-11-07 16:18:53,0.9419198632240295,"[""Testing all 4 variations of original 1 subject data""]",0.9311105012893677,3.0,128.0,670,0.0,17.0,1.0,0.032,16.0,data/bcm_alt/,55785.0,168285.0,0.001147798031776522
BCMAC-294,2022-11-07 16:07:32,0.9443578124046326,"[""Testing all 4 variations of original 1 subject data""]",0.935072124004364,3.0,128.0,680,0.0,17.0,1.0,0.032,15.0,data/bcm_alt/,55785.0,168285.0,8.84731044123615E-4
BCMAC-293,2022-11-07 15:57:54,0.9446446299552917,"[""Testing all 4 variations of original 1 subject data""]",0.9312180876731873,3.0,128.0,577,0.0,14.0,1.0,0.032,14.0,data/bcm_alt/,55785.0,168285.0,8.591033538356403E-4
BCMAC-292,2022-11-07 15:48:30,0.9397329092025757,"[""Testing all 4 variations of original 1 subject data""]",0.9329210519790649,3.0,128.0,563,0.0,14.0,1.0,0.032,13.0,data/bcm_alt/,55785.0,168285.0,0.0015368755821718594
BCMAC-291,2022-11-07 15:38:34,0.9378865361213684,"[""Testing all 4 variations of original 1 subject data""]",0.9354127645492554,3.0,128.0,594,0.0,15.0,1.0,0.032,12.0,data/bcm_alt/,55785.0,168285.0,1.5420526504428267E-4
BCMAC-290,2022-11-07 15:28:29,0.9431567788124084,"[""Testing all 4 variations of original 1 subject data""]",0.9287621974945068,3.0,128.0,604,0.0,15.0,1.0,0.032,11.0,data/bcm_alt/,55785.0,168285.0,0.0011447860509057328
BCMAC-289,2022-11-07 15:16:41,0.9445549845695496,"[""Testing all 4 variations of original 1 subject data""]",0.940306544303894,3.0,128.0,707,0.0,18.0,1.0,0.032,10.0,data/bcm_alt/,55785.0,168285.0,0.0010386562105821895
BCMAC-288,2022-11-07 15:04:03,0.9433718919754028,"[""Testing all 4 variations of original 1 subject data""]",0.9311105012893677,3.0,128.0,757,0.0,19.0,1.0,0.032,9.0,data/bcm_alt/,55785.0,168285.0,5.691636301676795E-5
BCMAC-287,2022-11-07 14:50:55,0.9397687315940857,"[""Testing all 4 variations of original 1 subject data""]",0.9269158244132996,3.0,128.0,787,0.0,20.0,1.0,0.032,8.0,data/bcm_alt/,55785.0,168285.0,7.047023091798129E-4
BCMAC-286,2022-11-07 14:37:40,0.941220760345459,"[""Testing all 4 variations of original 1 subject data""]",0.9317378997802734,3.0,128.0,793,0.0,20.0,1.0,0.032,7.0,data/bcm_alt/,55785.0,168285.0,9.739516013223828E-4
BCMAC-285,2022-11-07 14:24:28,0.935430645942688,"[""Testing all 4 variations of original 1 subject data""]",0.9271847009658813,3.0,128.0,791,0.0,20.0,1.0,0.032,6.0,data/bcm_alt/,55785.0,168285.0,6.291011947393512E-4
BCMAC-284,2022-11-07 14:11:23,0.9434794187545776,"[""Testing all 4 variations of original 1 subject data""]",0.9369902014732361,3.0,128.0,783,0.0,20.0,1.0,0.032,5.0,data/bcm_alt/,55785.0,168285.0,5.2389584345476015E-5
BCMAC-283,2022-11-07 13:59:30,0.9357712864875793,"[""Testing all 4 variations of original 1 subject data""]",0.9208389520645142,3.0,128.0,712,0.0,18.0,1.0,0.032,4.0,data/bcm_alt/,55785.0,168285.0,5.412608851307928E-4
BCMAC-282,2022-11-07 13:50:11,0.9382450580596924,"[""Testing all 4 variations of original 1 subject data""]",0.9266648888587952,3.0,128.0,558,0.0,14.0,1.0,0.032,3.0,data/bcm_alt/,55785.0,168285.0,4.6924434892474664E-4
BCMAC-281,2022-11-07 13:38:14,0.9388724565505981,"[""Testing all 4 variations of original 1 subject data""]",0.9239221811294556,3.0,128.0,715,0.0,18.0,1.0,0.032,2.0,data/bcm_alt/,55785.0,168285.0,1.7152012848803704E-5
BCMAC-280,2022-11-07 13:30:44,0.9413462281227112,"[""Testing all 4 variations of original 1 subject data""]",0.9315407276153564,3.0,128.0,449,0.0,11.0,1.0,0.032,1.0,data/bcm_alt/,55785.0,168285.0,0.001595759578345864
BCMAC-279,2022-11-07 13:21:25,0.9509007930755615,"[""Testing all 4 variations of original 1 subject data""]",0.9318275451660156,3.0,128.0,558,0.0,14.0,1.0,0.032,0.0,data/bcm_alt/,55785.0,168285.0,0.001574308169211373
