Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance)
BCMAC-383,2022-11-12 11:28:09,0.9420613050460815,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9353760480880737,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9'],1795.0,5385.0,0.006031858779731003
BCMAC-382,2022-11-12 11:26:45,0.9899721741676331,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9799442887306213,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],1795.0,5385.0,0.007610397945746072
BCMAC-381,2022-11-12 11:25:22,0.978830099105835,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9454038739204407,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13'],1795.0,5385.0,0.002385588738957445
BCMAC-380,2022-11-12 11:23:59,0.9342618584632874,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.7944289445877075,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1'],1795.0,5385.0,0.0021812864578785174
BCMAC-379,2022-11-12 11:22:36,0.8986072540283203,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.8718662858009338,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_13-56-0'],1795.0,5385.0,0.002706655302793415
BCMAC-378,2022-11-12 11:21:13,0.9197771549224854,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9108635187149048,3.0,128.0,81,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-15-6'],1795.0,5385.0,0.0035841584281382844
BCMAC-377,2022-11-12 11:19:50,0.9236769080162048,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9069637656211853,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-52-7'],1795.0,5385.0,0.0054893112201008345
BCMAC-376,2022-11-12 11:18:26,0.8852367401123047,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.8718662858009338,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject2/2022-11-09_14-34-16'],1795.0,5385.0,0.003444416650266291
BCMAC-375,2022-11-12 11:17:03,0.8345403671264648,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.7922005653381348,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-57-37'],1795.0,5385.0,2.599847548549583E-4
BCMAC-374,2022-11-12 11:15:40,0.7955431938171387,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.7910863757133484,3.0,128.0,82,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-18-27'],1795.0,5385.0,2.8964555462263065E-5
BCMAC-373,2022-11-12 11:14:18,0.8016713261604309,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.8016713261604309,3.0,128.0,81,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_14-58-39'],1795.0,5385.0,2.2287054696956686E-5
BCMAC-372,2022-11-12 11:12:57,0.9476323127746582,"[""Test of all possible individual subject datasets"",""\""full_datasets\""""]",0.9281337261199951,3.0,128.0,80,0.0,39.0,1.0,1.0,100.0,['bcm_behaviour_data_multi_subject/subject1/2022-09-20_15-38-11'],1795.0,5385.0,0.0028548188578262136
