Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-667,2022-11-17 21:14:44,0.8980501294136047,"[""LOSO multi seed""]",0.8155989050865173,3.0,128.0,170,0.0,39.0,1.0,1.0,19.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.004125771940758671,14360.0
BCMAC-666,2022-11-17 21:11:55,0.8732590675354004,"[""LOSO multi seed""]",0.8632311820983887,3.0,128.0,168,0.0,39.0,1.0,1.0,18.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.004279178096152502,14360.0
BCMAC-665,2022-11-17 21:09:04,0.8919219970703125,"[""LOSO multi seed""]",0.8647632598876953,3.0,128.0,169,0.0,39.0,1.0,1.0,17.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.003026721013160394,14360.0
BCMAC-664,2022-11-17 21:06:14,0.8674094676971436,"[""LOSO multi seed""]",0.8369081020355225,3.0,128.0,169,0.0,39.0,1.0,1.0,16.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.003189505696599948,14360.0
BCMAC-663,2022-11-17 21:03:23,0.880501389503479,"[""LOSO multi seed""]",0.880501389503479,3.0,128.0,170,0.0,39.0,1.0,1.0,15.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0034589694693549335,14360.0
BCMAC-662,2022-11-17 21:00:10,0.8844011425971985,"[""LOSO multi seed""]",0.8647632598876953,3.0,128.0,168,0.0,39.0,1.0,1.0,14.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.002819245614910759,14360.0
BCMAC-661,2022-11-17 20:57:20,0.8917827010154724,"[""LOSO multi seed""]",0.8559888601303101,3.0,128.0,169,0.0,39.0,1.0,1.0,13.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0037440543430157015,14360.0
BCMAC-660,2022-11-17 20:54:30,0.8889971971511841,"[""LOSO multi seed""]",0.8693593144416809,3.0,128.0,168,0.0,39.0,1.0,1.0,12.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.003769718581557413,14360.0
BCMAC-659,2022-11-17 20:51:41,0.9058495759963989,"[""LOSO multi seed""]",0.8844011425971985,3.0,128.0,169,0.0,39.0,1.0,1.0,11.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.004376632858627438,14360.0
BCMAC-658,2022-11-17 20:48:51,0.8916434645652771,"[""LOSO multi seed""]",0.8856545686721802,3.0,128.0,169,0.0,39.0,1.0,1.0,10.0,"['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-47-1', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-26-13', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14', 'bcm_behaviour_data_multi_subject/subject3/2022-11-09_16-7-9']",7180.0,14360.0,0.0049838443609838915,14360.0
