Id,Creation Time,Owner,Monitoring Time,Tags,training/val_acc_epoch (max),training/train_acc_epoch (max),metadata/seed (last),metadata/mfccs_pr_window (last)
BCMAC-148,2022-11-05 00:15:04,aksel.s.madsen,1105,[],0.991527259349823,0.9995045065879822,9.0,250.0
BCMAC-147,2022-11-04 23:43:08,aksel.s.madsen,1915,[],0.9918000102043152,1.0,8.0,250.0
BCMAC-146,2022-11-04 23:31:27,aksel.s.madsen,699,[],0.9894363880157471,0.9994507431983948,7.0,250.0
BCMAC-145,2022-11-04 23:12:02,aksel.s.madsen,1164,[],0.9891818165779114,1.0,6.0,250.0
BCMAC-144,2022-11-04 22:46:51,aksel.s.madsen,1510,[],0.9892908930778503,1.0,5.0,250.0
BCMAC-143,2022-11-04 22:27:26,aksel.s.madsen,1163,[],0.9905272722244263,0.9995223879814148,4.0,250.0
BCMAC-142,2022-11-04 22:12:55,aksel.s.madsen,870,[],0.9925090670585632,1.0,3.0,250.0
BCMAC-141,2022-11-04 22:00:16,aksel.s.madsen,758,[],0.99149090051651,0.9997193813323975,2.0,250.0
BCMAC-140,2022-11-04 21:28:18,aksel.s.madsen,1917,[],0.9928545355796814,1.0,1.0,250.0
BCMAC-139,2022-11-04 21:17:35,aksel.s.madsen,642,[],0.9959272742271423,0.9990208745002747,0.0,250.0
BCMAC-138,2022-11-04 21:01:51,aksel.s.madsen,942,[],0.9879935383796692,0.9991843700408936,9.0,156.0
BCMAC-137,2022-11-04 20:39:18,aksel.s.madsen,1351,[],0.9879574775695801,0.999958336353302,8.0,156.0
BCMAC-136,2022-11-04 20:25:01,aksel.s.madsen,856,[],0.9880115389823914,0.9996011257171631,7.0,156.0
BCMAC-135,2022-11-04 20:09:59,aksel.s.madsen,901,[],0.9881016612052917,0.9992379546165466,6.0,156.0
BCMAC-134,2022-11-04 19:57:57,aksel.s.madsen,721,[],0.9867495894432068,0.9989164471626282,5.0,156.0
BCMAC-133,2022-11-04 19:42:12,aksel.s.madsen,944,[],0.9865873456001282,0.9992319941520691,4.0,156.0
BCMAC-132,2022-11-04 19:33:10,aksel.s.madsen,540,[],0.9864251017570496,0.9984997510910034,3.0,156.0
BCMAC-131,2022-11-04 19:23:22,aksel.s.madsen,587,[],0.9878492951393127,0.9980472922325134,2.0,156.0
BCMAC-130,2022-11-04 19:06:48,aksel.s.madsen,993,[],0.9879935383796692,0.9994463324546814,1.0,156.0
BCMAC-129,2022-11-04 18:54:44,aksel.s.madsen,723,[],0.98900306224823,1.0,0.0,156.0
BCMAC-128,2022-11-04 18:45:58,aksel.s.madsen,524,[],0.9767500162124634,0.9960067868232727,9.0,93.0
BCMAC-127,2022-11-04 18:35:52,aksel.s.madsen,605,[],0.9818230867385864,0.9971298575401306,8.0,93.0
BCMAC-126,2022-11-04 18:24:34,aksel.s.madsen,677,[],0.9791520833969116,0.9980211853981018,7.0,93.0
BCMAC-125,2022-11-04 18:15:48,aksel.s.madsen,525,[],0.9777538776397705,0.9967139363288879,6.0,93.0
BCMAC-124,2022-11-04 18:05:01,aksel.s.madsen,645,[],0.9750829339027405,0.9971179962158203,5.0,93.0
BCMAC-123,2022-11-04 17:53:42,aksel.s.madsen,677,[],0.9778255820274353,0.9986510872840881,4.0,93.0
BCMAC-122,2022-11-04 17:43:33,aksel.s.madsen,608,[],0.9746168255805969,0.997533917427063,3.0,93.0
BCMAC-121,2022-11-04 17:31:37,aksel.s.madsen,715,[],0.9777538776397705,0.998015284538269,2.0,93.0
BCMAC-120,2022-11-04 17:19:03,aksel.s.madsen,753,[],0.9778255820274353,0.9990432858467102,1.0,93.0
BCMAC-119,2022-11-04 17:06:26,aksel.s.madsen,756,[],0.9711571335792542,0.9954660534858704,0.0,93.0
